lago,fecha,bloque_fila,bloque_columna,x,y,b03,b04,b05,b08,ndci,ndvi,ndwi,proporcion_agua,proporcion_tierra,proporcion_otro,chl_a_estimada,pixeles_validos,alta_cianobacteria,id_bloque
amatitlan,2025-01-28,1600,765,765500.0,1600500.0,0.0994794,0.09289704,0.11371131,0.22494285,0.12121477,0.41171035,-0.37668738,0.0,0.8452,0.1548,6.6702647,2500,0,amatitlan_1600_765
amatitlan,2025-01-28,1600,766,766500.0,1600500.0,0.07752496,0.06271504,0.084708005,0.20521873,0.1880684,0.5484579,-0.44965318,0.004,0.9176,0.0784,9.519142,2500,0,amatitlan_1600_766
amatitlan,2025-01-28,1600,767,767500.0,1600500.0,0.06903536,0.051980358,0.07815276,0.19880708,0.21962988,0.58515674,-0.47668692,0.0008,0.9736,0.0256,11.282689,2500,0,amatitlan_1600_767
amatitlan,2025-01-28,1600,768,768500.0,1600500.0,0.06985533,0.051922888,0.079987116,0.21058467,0.22756413,0.6035534,-0.49565157,0.0,0.9822222222222222,0.017777777777777778,11.230231,450,0,amatitlan_1600_768
amatitlan,2025-01-28,1601,754,754500.0,1601500.0,0.16009846,0.17608164,0.18179546,0.2240541,0.032287695,0.14299989,-0.18658632,0.07909090909090909,0.3718181818181818,0.5490909090909091,4.2128487,1100,0,amatitlan_1601_754
amatitlan,2025-01-28,1601,755,755500.0,1601500.0,0.14758985,0.15735228,0.1631854,0.21007042,0.037730206,0.16083531,-0.1812793,0.0568,0.3272,0.616,4.4279127,2500,0,amatitlan_1601_755
amatitlan,2025-01-28,1601,756,756500.0,1601500.0,0.12496272,0.12727992,0.13349263,0.18084916,0.0449862,0.18746972,-0.1875939,0.0392,0.3808,0.58,4.7771955,2500,0,amatitlan_1601_756
amatitlan,2025-01-28,1601,757,757500.0,1601500.0,0.112530954,0.11077952,0.12094992,0.1818904,0.070656545,0.2634667,-0.24301793,0.044,0.5692,0.3868,5.3041677,2500,0,amatitlan_1601_757
amatitlan,2025-01-28,1601,758,758500.0,1601500.0,0.078449436,0.06519456,0.07833648,0.13126104,0.10143157,0.18662201,-0.06850222,0.362,0.5468,0.0912,6.327777,2500,0,amatitlan_1601_758
amatitlan,2025-01-28,1601,759,759500.0,1601500.0,0.07632184,0.06790624,0.0790468,0.119398,0.069320604,0.106586404,-0.015838861,0.3948,0.4968,0.1084,5.3035026,2500,0,amatitlan_1601_759
amatitlan,2025-01-28,1601,760,760500.0,1601500.0,0.05073288,0.0307484,0.0323712,0.01819576,0.026072571,-0.2763762,0.4906268,0.99,0.0028,0.0072,4.4478736,2500,0,amatitlan_1601_760
amatitlan,2025-01-28,1601,761,761500.0,1601500.0,0.07467772,0.06236964,0.07330096,0.109237686,0.08605786,0.043650895,0.10095918,0.5772,0.316,0.1068,6.154039,2500,0,amatitlan_1601_761
amatitlan,2025-01-28,1601,762,762500.0,1601500.0,0.09370077,0.0846002,0.11133361,0.24067356,0.15813765,0.4671836,-0.4129839,0.0328,0.8692,0.098,7.964211,2500,0,amatitlan_1601_762
amatitlan,2025-01-28,1601,763,763500.0,1601500.0,0.11289051,0.11169931,0.13123544,0.21630691,0.102641955,0.33124036,-0.31680614,0.0028,0.7132,0.284,5.979007,2500,0,amatitlan_1601_763
amatitlan,2025-01-28,1601,764,764500.0,1601500.0,0.09515272,0.08582604,0.10855844,0.20479648,0.15650158,0.42519492,-0.36363807,0.0264,0.7972,0.1764,8.823225,2500,0,amatitlan_1601_764
amatitlan,2025-01-28,1601,765,765500.0,1601500.0,0.11227352,0.11023012,0.13130097,0.23753345,0.10583559,0.35871708,-0.34528312,0.0084,0.7488,0.2428,5.9707665,2500,0,amatitlan_1601_765
amatitlan,2025-01-28,1601,766,766500.0,1601500.0,0.0859898,0.0744184,0.09981232,0.23710784,0.17457959,0.52132195,-0.457923,0.0012,0.8948,0.104,9.033262,2500,0,amatitlan_1601_766
amatitlan,2025-01-28,1601,767,767500.0,1601500.0,0.08056488,0.06823316,0.0895144,0.19542249,0.17207868,0.48906222,-0.41352674,0.0048,0.87,0.1252,9.954224,2500,0,amatitlan_1601_767
amatitlan,2025-01-28,1601,768,768500.0,1601500.0,0.06496911,0.04512711,0.07196489,0.20621467,0.23025294,0.6343233,-0.5134439,0.0,1.0,0.0,10.044321,450,0,amatitlan_1601_768
amatitlan,2025-01-28,1602,754,754500.0,1602500.0,0.11846982,0.11883864,0.13197573,0.21554027,0.079747275,0.30819824,-0.29962403,0.005454545454545455,0.6418181818181818,0.3527272727272727,5.6287117,1100,0,amatitlan_1602_754
amatitlan,2025-01-28,1602,755,755500.0,1602500.0,0.15748727,0.16221644,0.16737692,0.2085089,0.048837014,0.16608489,-0.1671144,0.1304,0.3168,0.5528,4.919289,2500,0,amatitlan_1602_755
